콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
화명수상레포츠타운,부산광역시 북구 강변대로 1629,http://tong.visitkorea.or.kr/cms/resource/32/2756932_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/2756932_image2_1.jpg,2756703,28,,(덕천동),A03,A0301,A03010200,Type3,129.0007033868,35.2224087512,6,20211014000520,20250324162450,,6,8
삼락수상레포츠타운,부산광역시 사상구 삼락동 29-21,http://tong.visitkorea.or.kr/cms/resource/54/2756954_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2756954_image2_1.jpg,2756707,28,,,A03,A0301,A03010200,Type3,128.9682186811,35.1728970354,6,20211014001022,20250110150614,,6,9
구미시 낙동강 수상레포츠 체험센터,경상북도 구미시 수출대로 326-20,,,2501042,28,,(임수동),A03,A0303,A03030200,,128.3992538584,36.1100113712,6,20170725181853,20241210151125,,35,4
바하마수상레포츠,경기도 가평군 설악면 유명로 2526,,,1199376,28,,,A03,A0303,A03030100,,127.4327752597,37.7193502845,6,20110209204934,20241203173134,,31,1
