TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
북한산천연옥워터파크,경기도 고양시 덕양구 북한산로 591-37 (효자동),http://tong.visitkorea.or.kr/cms/resource/91/3018591_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/3018591_image3_1.jpg,3018622,28,,,A03,A0303,A03030700,Type3,126.9577586189,37.6786991632,6,20231006173555,20250416160439,,31,2
디오션리조트 워터파크,전라남도 여수시 소호로 295 디오션리조트,http://tong.visitkorea.or.kr/cms/resource/46/2605246_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/46/2605246_image2_1.bmp,587699,12,0,,A02,A0202,A02020300,Type3,127.6446680548,34.7311840404,6,20080717183731,20250404142904,,38,13
양산워터파크,경상남도 양산시 물금읍 신주2길 25,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/97/2784497_image2_1.JPG,2784445,12,0,,A02,A0202,A02020700,Type3,129.0211095640,35.3372184703,6,20211201200836,20250402162343,,36,10
용평워터파크,강원특별자치도 평창군 대관령면 올림픽로 715,http://tong.visitkorea.or.kr/cms/resource/91/2715391_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/91/2715391_image2_1.jpg,586143,12,0,,A02,A0202,A02020600,Type3,128.7055231540,37.6509516248,6,20080714200755,20250331170720,,32,15
신화워터파크,제주특별자치도 서귀포시 신화역사로304번길 38,http://tong.visitkorea.or.kr/cms/resource/15/2562215_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2562215_image2_1.jpg,2562239,12,0,,A02,A0204,A02040800,Type3,126.3197479556,33.3072595277,6,20181005193519,20250325173959,,39,3
강동 워터파크,경상북도 경주시 보불로 391 (천군동),http://tong.visitkorea.or.kr/cms/resource/71/3326671_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/3326671_image3_1.jpg,2044527,12,0,,A02,A0202,A02020600,Type3,129.3056850979,35.8179335881,6,20151202005240,20250306134627,,35,2
내장산 문화관광 음악분수 (내장산 워터파크),전북특별자치도 정읍시 내장호반로 37,http://tong.visitkorea.or.kr/cms/resource/34/2740834_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/34/2740834_image3_1.png,2738691,12,0,(쌍암동),A02,A0205,A02050300,Type3,126.8973999766,35.5207877681,6,20210901193242,20241212153252,,37,13
씨랄라 워터파크,서울특별시 영등포구 문래로 164,http://tong.visitkorea.or.kr/cms/resource/47/1985547_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/1985547_image3_1.jpg,591603,12,0,(문래동3가),A02,A0202,A02020600,Type3,126.9000712095,37.5178529443,6,20080722024601,20241016174900,,1,20
썬밸리워터파크,경기도 여주시 강변유원지길 45,http://tong.visitkorea.or.kr/cms/resource/27/2766827_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2766827_image2_1.jpg,2766442,28,,(연양동),A03,A0303,A03030700,Type3,127.6612140882,37.2932010933,6,20211102193911,20240521093502,,31,20
