TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
JFK 대천 워터파크,충청남도 보령시 대해로 876,,,129698,12,0,(신흑동),A02,A0202,A02020300,,126.5175803044,36.3074221101,6,20070831090000,20241129184128,,34,5
김해 롯데워터파크,경상남도 김해시 장유로 555,,,1921423,12,0,,A02,A0202,A02020300,,128.8291361340,35.1810435696,6,20140527231527,20241126110540,,36,4
송우관광농원 페리아도 워터파크,경기도 포천시 소흘읍 이동교리,,,3075864,12,,,A02,A0202,A02020600,,127.1289360327,37.8244241756,6,20230915114502,20241111145543,,31,29
원마운트 워터파크,경기도 고양시 일산서구 한류월드로 300 고양 원마운트,,,1845544,12,0,,A02,A0202,A02020300,,126.7545414686,37.6646082788,6,20130917002220,20240808171424,,31,2
