콘텐츠제목,주소,대표이미지(원본),대표이미지(썸네일),콘텐츠ID,콘텐츠타입ID,교과서속여행지,상세주소,대분류,중분류,소분류,저작권유형,GPSX좌표,GPSY좌표 ,MAP레벨,등록일,수정일,전화번호,지역코드,시군구코드
대천해수욕장캠핑장,충청남도 보령시 해수욕장1길 48,http://tong.visitkorea.or.kr/cms/resource/66/2797966_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/2797966_image2_1.jpg,2734212,28,,(신흑동),A03,A0302,A03021700,Type3,126.5176165123,36.3035864394,6,20210818004443,20240726094801,,34,5
두곡해수욕장야영장,경상남도 남해군 남면 당항리,http://tong.visitkorea.or.kr/cms/resource/50/2746950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2746950_image2_1.jpg,2747027,28,,40-2,A03,A0302,A03021700,Type3,127.9080190773,34.7686371944,6,20210917185741,20240725162531,,36,5
백도해수욕장오토캠핑장,강원특별자치도 고성군 죽왕면 문암항길 133,http://tong.visitkorea.or.kr/cms/resource/32/2729232_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2729232_image2_1.JPG,2729401,28,,,A03,A0302,A03021700,Type3,128.5459341391,38.3017063240,6,20210803001651,20240725095010,,32,2
주문진해수욕장 향호야영장,강원특별자치도 강릉시 주문진읍 향호리 8-55,http://tong.visitkorea.or.kr/cms/resource/63/2791663_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2791663_image2_1.jpg,2791427,28,,,A03,A0302,A03021700,Type3,128.8165412047,37.9122013132,6,20211210181504,20240722092809,,32,1
구름포해수욕장카라반,충청남도 태안군 소원면 구름포길 117,http://tong.visitkorea.or.kr/cms/resource/63/2740363_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/63/2740363_image2_1.jpg,2739410,28,,,A03,A0302,A03021700,Type3,126.1526883231,36.8355800817,6,20210902222902,20240717220646,,34,14
곽지해수욕장 (곽지과물해변),제주특별자치도 제주시 애월읍 곽지리 1565,http://tong.visitkorea.or.kr/cms/resource/30/3053130_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3053130_image3_1.jpg,127870,12,0,,A01,A0101,A01011200,Type3,126.3031045774,33.4485353054,6,20031020090000,20240717213612,,39,4
무창포해수욕장 오토캠핑장,충청남도 보령시 웅천읍 관당리 806-9번지,http://tong.visitkorea.or.kr/cms/resource/87/2797887_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/87/2797887_image2_1.jpg,2747067,28,,,A03,A0302,A03021700,Type3,126.5357359511,36.2412494509,6,20210917192859,20240710111636,,34,5
옥계해수욕장 야영장,강원특별자치도 강릉시 옥계면 금진리 산105-10,http://tong.visitkorea.or.kr/cms/resource/75/2791675_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/75/2791675_image2_1.jpg,2791428,28,,,A03,A0302,A03021700,Type3,129.0477153170,37.6275137581,6,20211210181831,20240709143309,,32,1
원평해수욕장,강원특별자치도 삼척시 근덕면 원평길 38-20,http://tong.visitkorea.or.kr/cms/resource/85/3070685_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3070685_image3_1.jpg,127728,12,0,,A01,A0101,A01011200,Type3,129.2709520093,37.3204257175,6,20031209090000,20240708180720,,32,4
죽천해수욕장,경상북도 포항시 북구 흥해읍 죽천리,http://tong.visitkorea.or.kr/cms/resource/52/2912952_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/52/2912952_image3_1.jpg,2912974,12,,,A01,A0101,A01011200,Type3,129.4135289214,36.0899437973,6,20221121101218,20240703112101,,35,23
금능해수욕장 야영장,제주특별자치도 제주시 한림읍 금능리,http://tong.visitkorea.or.kr/cms/resource/29/2907629_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/29/2907629_image3_1.JPG,2907715,28,,2027,A03,A0302,A03021700,Type3,126.2360672447,33.3913100306,6,20221114171428,20240617134651,,39,4
