TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
지천지수상스키장,경상북도 칠곡군 지천면 창평리 627-3,http://tong.visitkorea.or.kr/cms/resource/47/2760847_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2760847_image3_1.JPG,2760785,28,,,A03,A0303,A03030100,Type3,128.4899941957,35.9697622947,6,20211021225426,20250110150051,,35,22
물새수상스키장,경기도 남양주시 화도읍 북한강로1570번길 46,http://tong.visitkorea.or.kr/cms/resource/00/2765300_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2765300_image2_1.jpg,2765251,28,,,A03,A0303,A03030100,Type3,127.3698607749,37.6499683061,6,20211101191611,20250107095916,,31,9
쌍용 수상스키,경기도 양평군 양평읍 오빈리,http://tong.visitkorea.or.kr/cms/resource/71/2756471_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2756471_image3_1.jpg,2755808,28,,414-4,A03,A0303,A03030100,Type3,127.4594179568,37.5041535328,6,20211013005057,20241219174114,,31,19
충주 포세이돈 수상레저(포세이돈수상스키장),충청북도 충주시 살미면 월악로 1087,http://tong.visitkorea.or.kr/cms/resource/15/2771315_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/2771315_image2_1.jpg,2769756,28,,,A03,A0303,A03030100,Type3,128.0606721838,36.9201903267,6,20211108215539,20241218133920,,33,11
삼봉수상스키장,경기도 남양주시 조안면 삼봉리,http://tong.visitkorea.or.kr/cms/resource/23/3017923_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/23/3017923_image3_1.JPG,3018011,28,,227,A03,A0301,A03010200,Type3,127.3390179595,37.5944519684,6,20231005134521,20241128104716,,31,9
가람수상스키 웨이크보드 웨이크서핑,경기도 남양주시 화도읍 금남리 146 가람수상레져,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/53/3045753_image3_1.JPG,3045767,28,,,A03,A0301,A03010200,Type3,127.3680193406,37.6477240882,6,20231122100649,20241125134647,,31,9
용인수상스키장,경기도 용인시 처인구 이동읍 어진로 765,http://tong.visitkorea.or.kr/cms/resource/96/3023296_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/3023296_image3_1.jpg,2666839,28,,,A03,A0303,A03030100,Type3,127.1899953166,37.1063308060,6,20200811221118,20241118142832,,31,23
남한강수상스키장,경기도 양평군 옥천면 남한강변길 274-1,http://tong.visitkorea.or.kr/cms/resource/74/2758374_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/74/2758374_image2_1.jpg,2758033,28,,,A03,A0303,A03030100,Type3,127.4394473699,37.5103080098,6,20211018195526,20240820163308,,31,19
남원워터월드수상스키장,전북특별자치도 남원시 주생면 도산리 산24-3,http://tong.visitkorea.or.kr/cms/resource/72/2790672_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2790672_image2_1.jpg,2787407,28,,,A03,A0303,A03030100,Type3,127.2859969298,35.3798437324,6,20211207200459,20240717215943,,37,4
