제목,이미지URL,촬영장소,검색키워드,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/70/2775370.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠, 드론촬영, 드론사진, 항공촬영",2775370,17,20211117111047,20211117111350,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/68/2775368.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠, 드론촬영, 드론사진, 항공촬영",2775368,17,20211117110927,20211117111039,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/67/2775367.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775367,17,20211117110858,20211117110909,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/66/2775366.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775366,17,20211117110729,20211117110826,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/64/2775364.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775364,17,20211117110657,20211117110714,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/61/2775361.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775361,17,20211117110544,20211117110601,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/59/2775359.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775359,17,20211117110450,20211117110522,강원지사 모먼트스튜디오
죽도해수욕장,http://tong.visitkorea.or.kr/cms2/website/53/2775353.jpg,강원도 양양군 현남면,"죽도해수욕장, 강원도 양양군, 죽도해변, 바닷가, 동해바다, 서핑, 수상스포츠, 해양스포츠",2775353,17,20211117103533,20211117110320,강원지사 모먼트스튜디오
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/60/2801860.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801860,17,20211220111118,20211220111133,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/59/2801859.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801859,17,20211220111057,20211220111108,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/58/2801858.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801858,17,20211220111030,20211220111043,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/57/2801857.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801857,17,20211220110958,20211220111015,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/55/2801855.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801855,17,20211220110920,20211220110932,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/54/2801854.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801854,17,20211220110856,20211220110908,강원지사
양양 서피비치,http://tong.visitkorea.or.kr/cms2/website/50/2801850.jpeg,강원도 양양군 현북면,"양양 서피비치, 강원도 양양군, 해변, 서핑전용해변",2801850,17,20211220110822,20211220110853,강원지사
