제목,검색키워드,이미지URL,촬영장소,촬영월,콘텐츠ID,콘텐츠타입ID,등록일시,수정일시,사진작가
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/71/1700271.jpg,충청남도 태안,,1700271,17,20120823135033,20150703113301,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/68/1700268.jpg,충청남도 태안,,1700268,17,20120823134907,20150703113245,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/67/1700267.jpg,충청남도 태안,,1700267,17,20120823134731,20150703113233,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/76/1700276.jpg,충청남도 태안,,1700276,17,20120823135448,20150703113152,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/79/1700279.jpg,충청남도 태안,,1700279,17,20120823135640,20150703113131,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/90/1700290.jpg,충청남도 태안,,1700290,17,20120823135920,20150703113120,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/01/1700301.jpg,충청남도 태안,,1700301,17,20120823140131,20150703113109,한국관광공사 김지호
신두리해수욕장,"신두리해수욕장, 신두리해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/46/1700246.jpg,충청남도 태안,,1700246,17,20120823132133,20150703113043,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/16/1698816.jpg,충청남도 태안,,1698816,17,20120822142550,20150703110035,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/00/1698800.jpg,충청남도 태안,,1698800,17,20120822142252,20150703105948,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/97/1698797.jpg,충청남도 태안,,1698797,17,20120822142105,20150703105916,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/84/1698784.jpg,충청남도 태안,,1698784,17,20120822141914,20150703105848,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/46/1698746.jpg,충청남도 태안,,1698746,17,20120822140844,20150703105817,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/35/1698635.jpg,충청남도 태안,,1698635,17,20120822134447,20150703105630,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/27/1698727.jpg,충청남도 태안,,1698727,17,20120822140414,20150703105600,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/96/1698596.jpg,충청남도 태안,,1698596,17,20120822133023,20150703105515,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/39/1698739.jpg,충청남도 태안,,1698739,17,20120822140634,20150703105410,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 바다, 물놀이, 여름,서해낙조",http://tong.visitkorea.or.kr/cms2/website/07/1698507.jpg,충청남도 태안,,1698507,17,20120822113011,20150703104435,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 바닷가, 물놀이, 여름,서해낙조",http://tong.visitkorea.or.kr/cms2/website/51/1698451.jpg,충청남도 태안,,1698451,17,20120822110510,20150703103811,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 바닷가, 물놀이, 여름,서해낙조",http://tong.visitkorea.or.kr/cms2/website/43/1698443.jpg,충청남도 태안,,1698443,17,20120822105439,20150703103754,한국관광공사 김지호
꽃지해수욕장,"꽃지해수욕장, 꽃지해변, 바닷가, 물놀이, 여름,서해낙조",http://tong.visitkorea.or.kr/cms2/website/25/1698425.jpg,충청남도 태안,,1698425,17,20120822104809,20150703103626,한국관광공사 김지호
정동진해변,"정동진해수욕장, 정동진해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/52/1693352.jpg,강원도 강릉,,1693352,17,20120816195208,20230422123525,한국관광공사 김지호
속초해수욕장,"속초해수욕장, 속초해변, 여름, 물놀이",http://tong.visitkorea.or.kr/cms2/website/88/1692688.jpg,강원도 속초,,1692688,17,20120814131647,20151104144502,한국관광공사 김지호
정동진해수욕장,"정동진해수욕장, 정동진해변, 물놀이, 여름",http://tong.visitkorea.or.kr/cms2/website/58/1693458.jpg,강원도 강릉,,1693458,17,20120816113517,20150703102838,한국관광공사 김지호
