TITLE,ADDR1,FIRST_IMG,FIRST_IMG2,KEYID,KEYTYPE,BOOKTOUR,ADR2,CAT1,CAT2,CAT3,CPYRIGHT,GPSX,GPSY,MAPLEVEL,CREATED,MODIFIED,TEL,AREA1,AREA2
하트해변(하누넘해수욕장),전라남도 신안군 비금면 하누넘해수욕장길 247,http://tong.visitkorea.or.kr/cms/resource/94/2742094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2742094_image2_1.jpg,2723767,12,0,,A01,A0101,A01011200,Type3,125.8956132335,34.7512638134,6,20210629230106,20250326090801,,38,12
둔장해변,전라남도 신안군 자은면 둔장길 47-45,http://tong.visitkorea.or.kr/cms/resource/57/2742457_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2742457_image3_1.jpg,2742112,12,0,,A01,A0101,A01011200,Type3,126.0581921505,34.9158672986,6,20210909193225,20250325160659,,38,12
나사해변(나사리해수욕장),울산광역시 울주군 서생면 나사리 434-5,http://tong.visitkorea.or.kr/cms/resource/54/3100154_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/3100154_image3_1.jpg,2777937,12,0,,A01,A0101,A01011200,Type1,129.3408533830,35.3568500029,6,20211123185800,20250325134846,,7,5
청호해변,강원특별자치도 속초시 아바이마을1길 6,http://tong.visitkorea.or.kr/cms/resource/94/3387194_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/94/3387194_image3_1.JPG,2714645,12,0,(청호동),A01,A0101,A01011200,Type3,128.5939550832,38.2030076428,6,20210427200702,20250324132851,,32,5
잔교리해변,강원특별자치도 양양군 현북면 쟁기동길 78-1,http://tong.visitkorea.or.kr/cms/resource/37/3387537_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/37/3387537_image3_1.JPG,2714604,12,0,,A01,A0101,A01011200,Type3,128.7252939415,38.0001865520,6,20210427030925,20250324130255,033-670-2787,32,7
평대해변,제주특별자치도 제주시 구좌읍 평대리 1994-20,http://tong.visitkorea.or.kr/cms/resource/61/3396561_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/61/3396561_image3_1.jpg,2723555,12,0,,A01,A0101,A01011200,Type3,126.8406003954,33.5332400681,6,20210625235940,20250324105406,,39,4
하도해변,제주특별자치도 제주시 구좌읍 해맞이해안로 1973,http://tong.visitkorea.or.kr/cms/resource/92/3100092_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/3100092_image3_1.jpg,2704435,12,0,,A01,A0101,A01011200,Type1,126.8988152454,33.5135348561,6,20210121202742,20250321140733,,39,4
이호테우해변,제주특별자치도 제주시 도리로,http://tong.visitkorea.or.kr/cms/resource/66/3354566_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/66/3354566_image3_1.jpg,126448,12,0,(이호일동),A01,A0101,A01011200,Type3,126.4531570913,33.4974183784,6,20031222090000,20250321110021,,39,4
함덕 서우봉 해변 (함덕해수욕장),제주특별자치도 제주시 조천읍 조함해안로 519-10,http://tong.visitkorea.or.kr/cms/resource/02/3354602_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3354602_image3_1.jpg,126451,12,0,,A01,A0101,A01011200,Type3,126.6683567720,33.5439000013,6,20030909090000,20250320175026,,39,4
외옹치해변,강원특별자치도 속초시 해오름로 83 (대포동),http://tong.visitkorea.or.kr/cms/resource/13/3338813_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/13/3338813_image3_1.jpg,1932003,12,0,,A01,A0101,A01011200,Type3,128.6076711543,38.1822047750,6,20140704192736,20250319192436,,32,5
운여해변,충청남도 태안군 고남면 장삼포로 535-57,http://tong.visitkorea.or.kr/cms/resource/42/3339342_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3339342_image3_1.jpg,2664196,12,0,,A01,A0101,A01011200,Type3,126.3559499060,36.4335770925,6,20200720230100,20250319185923,,34,14
